Texto_Procesado,Emocion
"Evaluar requisitos, viabilidad de medios, impacto inmediato, impacto a largo plazo, beneficios vs efectos adversos, comparar con otro curso de acción",3
Cuando la chica que me gusta no me hace caso o se molesta conmigo. Cuando no tengo tiempo libre y estoy lleno de tareas.,0
"Me he sentido cansado por lidiar con situaciones de ámbito familiar y ámbito académico. Debido a cambios repentinos de planes familiares me he llegado a sentir cansado porque involucra reorganización de muchas cosas. También cuando llego a casa de la universidad de un día que se me hizo complicado o pesado, ya sea por no entender un tema de alguna clase o por lidiar con situaciones emocionalmente pesadas.",0
"Relajarme y escuchar música, estar con mis amigos",3
Cuando me sale algo bien en la escuela y trabajo,1
"Cuando tengo problemas con mi familia,cuando peleó con personas que me importan, cuando me siento solo",5
"cuando estoy con mi amigo, o viendo alguna serie con comedia",1
"En casa, en proyectos donde no me ayudan, en temas de sociedad y las cosas que me condicionan",0
Viajar mucho y tener estabilidad económica,1
"Las veces en las que yo siento alegría tienen que ver con experiencias nuevas, cuando fui al concierto de mi artista favorito junto a mi mejor amigo, cuando viaje pata volver a ver a la persona que amaba.",1
cuando estoy con mis amigos o mi novia,1
Al tener que tratar forzosamente con personas que me desagradan,0
Seguir el camino de lo que te apasiona,1
Dolor de cabeza,4
Lo que normalmente pasa cuando estoy en una de esas situaciones es que primero al percatarme de lo que pasa me siento un tanto nerviosa pero después pienso en lo siguiente que debo hacer para solucionar el problema,2
"Cuando estoy con mis amigos, o cuando las cosas del día a día salen bien.",1
Luego de llegar del trabajo y entrenar,0
"En casi ninguna, solamente cuando surgen problemas amorosos.",5
Cuando trabajo en proyectos personales y la escuela,0
"Pues al inicio me pongo un poco en pánico, pero después ya comienzo a pensar de manera un poco más fría",2
"En situaciones donde no me tomen en serio por verme pequeño. Por ejemplo entrar a alguna tienda donde haya personal que puede ofrecerte su ayuda y que no se acerquen a mi y si a los demás clientes, y sobre todo en situaciones donde no pueda controlar el resultado o que vaya a pasar.",0
"Cuando logro completar algo, como una tarea, trabajo o proyecto, también cuando juego y me sorprendo de repente por alguna jugada bien hecha o que ni yo se como logre hacerla, también cuando siento que alguna relación es recíproca y cuando logro obtener soluciones rápidas y efectivas a algún problema que se me presente.",1
Que la felicidad proviene de uno mismo y del significado que se le das a las pequeñas cosas o actividades que te llenan el alma,1
"Buscar todas las alternativas posibles, buscar ayuda o maneras de conseguir el mejor resultado en el menor tiempo posible",3
Cuando practico mi hobby favorito,1
"Vivir bajo el significado del amor, desde uno mismo hacia todo factor con el que se relacione. Esto significa, actuar, relacionarse, trabajar y resolver problemas desde el amor, la paciencia y un nivel de conciencia que practica el estoicismo.",1
cuando las cosas no salen segun lo planeado,0
1.Cuando tengo algun trabajo en equipo y no aporto tantas ideas como quisiera. 2.Cuando tengo algún error en mis codigos y no lo puedo solucionar. 3.Y algunas veces cuando las personas me hablan mientras realizo algun trabajo.,0
"Tener todas las ventajas y desventajas, en que me sirve y como influye a futuro",3
"En situaciones las cuales involucren éxito en alguna actividad, en términos generales podría incluir recientemente la entrega de actividades evaluatorias y tareas",1
Regularmente siento alegría por logros que hago o cosas más sencillas como que gane mi equipo de fútbol pero yo diría que lo más determinante son las personas que influyen en mi vida.,1
Después de largas jornadas de trabajo,0
1. Ver los pros y los contras 2. Ignorar lo anterior y seguir mi intuición,3
1. Pensar posibles escenarios. 2. Pensar en las consecuencias y 3. Seleccionar la más adecuada a mis pensamientos.,3
Depués de estar mucho tiempo frente a la computadora por mi trabajo. en general siento un poco de cansancio por mi embarazo.,0
"Despues de la escuela, llegando a casa o despues de hacer ejercicio.",0
me estreso,2
Estar vivo y hacer lo que uno quiere y le gusta,1
"Me preocupo por lo que me puedan decir o en lo que me afectaría, y busco una forma de enmendarlo",2
Casi todo el tiempo,0
Cuando me estreso mucho,5
Cuando recibo buenas noticias,1
"Analizar la situación, ver las consecuencias y ver qué es lo mejor.",3
Cuando hago trabajos o proyectos de la universidad,0
Cuando surgen problemas de la universidad o del trabajo.,4
EL AMOR,1
cuando recuerdo mis años anteriores,5
cuando estoy con mi familia cuando juego futbol,1
En semana de evaluación,0
Casi todo el día.,4
Cuando no me salen las cosas,0
"Sudoración, respiración pesada, comezón.",4
"¿Dónde busco la felicidad? Es un momento que llega y ya, se esfuma. Nadie sabe donde se encuentra exactamente.",1
bajo presión,5
Por lo regular por la noche que ya es al final del dia y pues seria porque regreso de la escuela o luego del gym,0
"que la felicidad no es algo que se pueda dar a alguien más, si no que alcanza por nosotros mismos.",1
"En las situaciones que haga sentirme alegra es cuando me entero de que aprobé alguna materia, cuando como, cuando paso tiempo jugando algún video juego con mis amigos, ver a mis compañeros, cuando me estoy bañando, cuando ya me voy a ir a dormir, cuando voy a mi casa con mi familia.",1
En situaciones de peligro o momentos donde hay presion externa.,4
"La felicidad no siempre tiene un significado, pues puede ser esporádica y sin razón aparte, diría que muchas veces es la manifestación de lo que tenemos en el corazón.",1
Cuando me sobrecargo de problema que aveces no son mios y consume mi tiempo o simplemente estar muy presionado con tareas o trabajos en casa,0
"Para mi la felicidad seria estar rodeada de personas que ames y que te amen, personas que te hacen sentir bien con el simple hecho de estar a tu lado",1
Sobrellevarla,3
Descartar las peores opciones y las que queden imaginarse en cada una de ellas y ver cuál es mejor.,3
la mayoria del tiempo,0
Autosuficiencia,1
Cuando una tarea no me sale.,4
"Cuando tengo algún problema con mi círculo cercano de personas, cuando no logro algo que creía posible.",0
"Hace poco tuve que ayudar con la organización de una feria de proyectos , un hackathon y bastante tarea y estudios para exámenes , cuando estoy muy ocupada es que me siento cansada",0
Cuando siento que no doy lo suficiente de mi,5
Cuando son etapas finales de evaluación o en ciertos momentos específicos con mi familia,0
Al perder a mi ser querido,5
POR LA ENFERMEDAD DE MIS FAMILIARES,4
"No sé, hace mucho no pienso en felicidad, solo en funcionalidad, si algo sale bien o esta en orden es lo que me hace sentir bien",1
La felicidad es un estado de satisfacción y bienestar,1
Cuando salgo de paseo con mis amigos o cuando juego videojuegos shooters con ellos,1
"Busco diferentes soluciones, veo la que mas se acomode a mis habilidades y realizo",3
Muy estresada,2
"Pienso, analizó y actuó",3
"Cuando tengo examen, cuando van a entregarme calificaciones",4
La ansiedad,4
Cuando algo no sale como quiero.,0
Alergia cutanea.,4
"Actualmente, tomo un respiro hondo y vuelvo a pensar en cómo solucionarlo",2
Casi siempre. Tengo problemas de sueño,0
Con calma y busco una solución y si no la hay me quedo tranquilo,2
En ningún momento,0
Cuando pienso en mi futuro,5
Cuando veo algún momento triste,5
Cuando recibo una buena noticia en mi día o logro algún objetivo.,1
"Cuando me compro cosas, o salgo con amigos",1
"Dolor en el estómago, bajón en mis sentimientos y demás.",4
"Al comer, después de ver a mi familia y después de terminar una actividad pendiente",1
Haría una lista mental acerca de cual opción me traería mas problemas y cual menos,3
"Frustración, bloqueo mental, dolor de cabeza",2
La felicidad es un estado de paz interior y satisfacción con la vida en general. Se trata de disfrutar de los momentos simples y valorar lo que tenemos en lugar de enfocarnos en lo que nos falta.,1
Sudo,4
Haciendo tareas que no entiendo por completo,4
"Analizar que sucedió previamente para que tal cosa sucediera, deducir que estuvo bien y mal, reconocer patrones y como puede mejorar/solucionarse.",3
"creo que siempre, a pesar de que no siempre tengo razón para estarlo",0
El aguinaldo,1
"La felicidad son las pequeñas cosas que hacemos día con día y nos ayudan a crecer, a mejorar y a sentirnos plenos con nosotros mismos.",1
En las noches,0
"Cuando alcanzo mis metas, pero sobre todo la comida. Ultimamente me gusta mucho hacer de comer o realizar postres, o tambien escuchar mi musica favorita y cantarla muy fuerte. Me senti muy feliz el dia de ayer que asisti a un concierto, pero sobre todo con lo que màs me he sentido feliz es tener la satisfaccion de contar con una increible familia.",1
"Nervios, ansiedad",4
"Me tomo mi tiempo para pensar una solución, después de hacer todo lo de la toma de decisión, pasar un tiempo (a veces días o semanas) sobre pensando todo y las consecuencias, esperar un momento adecuado y gracias a la impulsividad terminar haciendo por o y cosa",3
"Cuando viajo a la escuela, ya que vivo lejos y normalmente tardo 1 hora o más, también llegó a hacer tarea y tengo que desvelarme",0
"Primero trato de calmar mis emociones, ser objetiva, siempre busco una opinión más, de mi psicólogo por ejemplo, y leo algunos versículos que se adecuen a mi situación y me ayuden a una buena decisión",3
Al despertar,0
"Analizar la importancia e impacto de esa decisión en mi vida, revisar que lo que voy a decidir encaje con mis valores, entender las posibles consecuencias de esa decisión y estar dispuesta a enfrentarlas,finalmente, confiar en mi análisis e instinto y tomar la decisión.",3
"Ira, dolor y tristeza",4
Cuando voy en el transporte publico o algunas veces en la escuela,4
"Al estar en contacto con mis seres queridos (Amigos, Familia , Conocidos),tambien al finalizar alguna actividad con exito",1
"Con frustracion y enojo, tratar de analizar que sucedio mal y como tratar de prevenirlo para la siguiente ves",2
"Primero pienso cuáles serían los beneficios de esa elección, luego las consecuencias y al final analizo si hay más beneficios que consecuencias",3
Buscar soluciones posibles y actuar de inmediato,3
Cuando completo mis tareas y cuando gano en mis partidos de fútbol,1
Cuando me estreso,5
"Analizar la situación, pensar en algunas consecuencias que puede haber pero si esas consecuencias no afectan mucho, podemos continuar.",3
"Poder analizar el problema, buscar las soluciones óptimas y analizar la mejor",3
No he estado durmiendo bien debido a que los trabajos de la escuela los deje hasta el final y ultimamente me siento cansada.,0
"Cuando no logro las cosas que quiero, cuando recuerdo las cosas que quisiera hacer y cuando veo los problemas que hay en mi hogar",5
"Sudor, ansiedad",4
Trato de pensar con objetividad las cosas y tomar la mejor decision para mi,3
Después de volver de clases,0
Cuando algo no me sale,4
"La felicidad es algo que se busca, no que se tiene y es temporal ya que sin momentos de tristeza no existiria la felicidad",1
Cuando tengo que hacer varias actividades,0
Cuando le pasan cosas malas a mi familia,5
"SI es algo que no dependia de mi para que funcionara de buena forma, lo dejo pasar. Pero si es algo como el olvidar las llaves, no cargar el celular, me siento incompetente y con enojo de por medio.",2
"Cuando no puedo resolver un objetivo que tengo en el día, cuando no me salen las cosas en el tiempo que estimo.",4
"Al pasar tiempo con mis amigos, sacar buenas calificaciones en los exámenes, dedicarle tiempo en mis pasatiempos",1
No he sentido alegría,1
Cuando veo la injusticia,5
Cuando no me va bien en la escuela,5
"Primero: ver ventajas y desventajas. Segundo: ver la moral de la elección y saber si el fin justifica el medio Tercero: elegir la opción que mejor le convenga después de haber analizado las ventajas, y alternativas.",3
"Tomar un momento para descansar, analizar la situación y buscar posibles soluciones, luego buscar maneras de como actuar para conseguir la solución",3
Cuando no se lo que me depara el futuro,4
"Analizó todas las opciones, busco pros y contras de cada una, elijo la que se apegue más a mi manera de ser",3
Cuando me estreso demasiado y siento que no soy suficiente para eso,5
me sudan horrible las manos y siento que me duele el pecho,4
"Al obtener algún logro, o sentirme Agusto con alguien",1
En clases,4
Cuando tengo muchos pendientes por hacer y la manera de organizar mi tiempo no da para cubrir todos los pendientes,4
"Cuando espero alguna calificación o tengo que coordinarme para pensar que me falta para comer o tener un presupuesto para los días, o incluso no terminar un trabajo a tiempo",4
"Con la cabeza tranquila, vemos las posibilidades o soluciones, hacemos acciones para resolverlo y tratar de mejorar",3
Problemas familiares,5
Lograr la autorrealización.,1
Salud. Libertad. Tiempo para estar con quien amas.,1
"En aquellos casos cuando llevo intentando muchas veces algo y sigue sin funcionar o sin dar el resultado deseado, cuando me culpan de algo que no hice, cuando quieren tratar de manipularme, cuando quieren aprovecharse de mi, cuando me hacen quedar mal, cuando soy el único que realiza la actividad cuándo es en equipo sin que me ofrezcan ayuda o algún apoyo, cuando trato de dar una solución lo invaliden inmediatamente sin siquiera escuchar, cuando me exigen algo sin siquiera preocuparse por mi o en si saber si estoy disponible o sin importarle que tengo que realizar también otras actividades",0
Con estrés y hacer las cosas por impulso,2
"Cuando expongo, o hago examenes, que no llego a veces a estudiar, o cuando no entrego unos trabajos a tiempo.",4
"Rara vez, en verdad",0
Visualizar desde todos los puntos de vista después analizar cada situación y tomar la decisión.,3
"Al principio si es verdad que te da un golpe de preocupacion al pensar en todas las consecuencias que puede traer la situacion, pero despues intento relajerme y pensar en una manera de solucionarla.",2
"Evaluar la situación, hacer una investigación exhaustiva de mis opciones, pedir la opinión de terceros que sepan del tema, hacer una evaluación final con toda la información recabada, y esperar que la decisión que se tomó fue la mejor.",3
"Estudiar las opciones, luego los beneficios, después las consecuencias y que tan factible sería",3
Pensar en cómo resolver y tratar de calmarme,3
Por lo regular en las noches,4
Cuando hablo con mis amigos o salimos a algún lado.,1
Cuando tengo clases todo el día ademas tengo que trabajar y por ultimo tengo que ir al gimnasio . Ultimamente he tenido bastante trabajo en la escuela.,0
"sin que nadie me vea lloro después pienso en todo, que fue lo que paso, pienso cuantos escenarios puedo encontrar, que consecuencias hay, busco soluciones y actuó/decido",3
Cuando las cosas no salen bien o cuando las personas traicionan.,0
Cuando se me olvidan cosas que tengo que hacer,0
Cuando siento demasiado estrés,5
Cabeza fría y estar relajado ante cualquier cosa que pueda suceder,3
"Debilitamiento físico, cansancio.",4
Princiapalmente analizar la situacion he intentar encontrar la solucion mas viable.,3
La felicidad son las pequeñas cosas que experimentamos que hacen que se olvide todo lo malo.,1
Por las clases de universidad y problemas de pareja,4
Pues puedo llegar a tener distintas sensaciones pero trato de relajarne y me enfoco en como resolver la situacion,2
"Comezón en el cuerpo, sentimiento de incomodidad y ansiedad",4
Cuando algo que ya tengo planeado tal vez no queda o cuando llevo tiempo trabajando y no es apreciado de la manera correcta,0
Analizar siempre las posibles casos y situaciones.,3
En situaciones donde el tiempo va en contra o exceso de trabajo,0
Al entregar mis tareas o proyectos y regresar a mi casa los fines de semana,1
"Al recordar. Algunas palabras, canciones o situaciones me hacen recordar momentos que me marcaron, incluso tengo pesadillas recordando todo con detalle de cada palabra y accion. Al ver mis cicatrices y sentirme como idiota, porque esas cicatrices nunca se irán, siempre estarán para recordar lo que fui. Algo que más me hace querer llorar es ver cómo mi hermana la persona más importante de mi vida observa mis cicatrices y sabe que no solo son cicatrices físicas si no internas que siempre llevaré dentro de mi. Sin decirme nada, lo dice todo con la mirada.",5
"Al final del día casi, cuando ya voy a dormir o cuando me levanto",0
Cuando no obtenga atención,5
A veces cuando salgo de mis prácticas y hace mucho calor.,0
Evalúo pros y contras de cada decisión Si me afecta a mí Si afecta a otros,3
Bien intento solucionar eso,2
"Cuando juego con mi hermanito, cuando gente se interesa por mi, cuando como la comida que me gusta",1
Al final del dia,0
Siempre que regreso de jugar,0
"Enojo, pues las cosas no salieron como yo las tenía planeadas. Aunque aveces puedo pensar de manera racional y reaccionar de manera indiferente pues no tengo el control de ellas.",2
"Si es cansancio físico después del gimnasio, si es cansancio mental normalmente los días que son muchos pendientes en cuestión de escuela más porque es casi fin de semestre",0
Cuando las cosas no me salen,0
cuando no cumplen lo que dicen.,0
"Cuando tengo actividades académicas (tareas), cuando tomo cursos y.....simplemente no me puedo concentrar o cuando algo no me sale bien",0
"Una presión en el pecho, y no sentirme tranquilo",4
Trato de calmarme y hacer lo mejor posible para poder resolver la situación sin que mis sentimientos generen un sesgo. Si las circunstancias lo requieren pido ayuda amigos o familia y busco formas creativas de afrontar el problema.,3
Paz y tranquilidad en el presente,1
Respirar y pensar lo más que pueda mi respuesta,3
Hablar con la gente.,0
Sólo dificultad para concentrarme,4
Después de ir a entrenar,0
Ninguna,4
Felicidad es cuando sientes una paz en ti,1
Me pongo de mal humor y pierdo el enfoque.,2
"Podría ser la obtención de algún beneficio, reconocimiento, tranquilidad o lograr cumplir alguna meta o objetivo después de realizar algún esfuerzo y que este haya valido la pena, o también podría ser la presentación de alguna oportunidad que pueda cambiar o mejorar mi situación actual para mejor",1
"El aprender a amarte a ti mismo, a ser feliz contigo mismo, ya que para poder transmitir esa felicidad, tu debes tenerla.",1
Cuando tengo cosas por hacer,4
No saber si escogí bien mi carrera Y recordar a mi papá fallecido,5
Cuando tengo pendientes sin hacer,4
Al regresar de la universidad,0
Un nudo en la garganta,4
Cuando comparto momentos con mis amigos o familiares,1
Con enojo pero siempre tratando de resolver ya que siempre tengo un segundo plan,2
Todos los dias,0
Cuando ando en busca de soluciones y opurtunidades y no encuentro solucion al problema,4
"Pensar si es lo mejor para mí, si no afectare a una tercera persona y si me traerá un bien",3
"pues trato de mantener la calma y acepta la situación, aunque a veces puedo enojarme dependiendo de lo frustrante que sea la situación",2
cuando pienso sobre el futuro que me espera,4
"Cuando las cosas no salen como las planeaba, suelo ser metodica en cada una de las acciones que realizo y si no es lo que esperaba, me molesto. Cuando tengo pendientes que realizar, siento que no avanzo y cuando me da hambre.",0
1.Comprender bien cual es el problema. 2.Analizar las ventajas y desventajas. 3.Pensar si la eleccion que tome puede ser perjudicial para mi. 4.Platicar con la persona que más confianza tengo para tener una opinion más. 5.Tomar la eleccion que crea correcta.,3
"Pregunto a mis padres, amigos o alguien que sepa del tema y elijo con base a lo que me recomiendan pero tomando en cuenta lo que me gusta",3
Cuando nada me sale como quiero,0
En sitaciones donde hay mucho estres,5
Cuando entrego trabajos de la universidad bien hechos,1
"La vida es un parpadeo, nos preocupamos por tonterías y olvidamos que al morir solo llevamos lo que disfrutamos.",1
Cuando recuerdo a mi familia.,5
"Primero que nada analizo los beneficios que me traera cada elección, pero al final también me preguntó cuál es la elección que quiero realmente",3
En general mi estado de animo es alegre,1
"Cuando no entiendo a los proyectos de la uni, me agobio mucho por no entender varias cosas, siento que soy un tonto.",5
Cuando todas las cosas no salen según lo esperado,5
Tranquilo,2
Al inicio con sorpresa y decepción. Despues con aceptacion. Al final con determinacion para resolverlo.,2
Al no saber que vendra en el futuro o al sentir incertidumbre de que estoy haciendo en mi vida,4
"Tratar de sobre llevarlo, no enfocarme mucho en la situacion",3
"No suelo tener ese sentimiento, pero la mayoría de veces es por frustración",5
"Cuando estoy con mi novia, cuando me está yendo bien en la universidad, cuando entiendo todo lo nuevo que vi en la universidad, cuando estoy con mis amigos y pasando tiempo con mi familia.",1
De lunes jueves al trabajar y estudiar,0
"Las situaciones que me hacen sentir feliz es cuando estoy en el GYM haciendo mis rutinas de cada día, al ir con los chicos del coro para cantarle alabanzas a Dios, estar con mi hermanita riendo, leer libros de romance, ver mis series favoritas y estar con amigos o familiares que me hacen sentir cómoda.",1
"A final del día, sobrepensando",4
"Que la felicidad es como la vida, no buscar significado, si no disfrutar.",1
Ninguna,1
"Calmarme , ver la situacion desde otro punto de vista y tratar de tomar las decisiones sin tomar en cuenta las emociones del momento",3
Cuando discuto con mi familia,5
"Regularmente las lamento por un tiempo muy corto y procedo a aceptarlas, buscar soluciones antes que enfocarse en el problema.",2
Buscar un camino que nos guíe a encontrar lo que nos gusta y compartirlo con quienes queremos.,1
"Al principio me estreso, después trato de calmarme, y luego pienso la forma de solucionarlo.",2
Después de llegar de la universidad y mientras hago tareas en la madrugada.,0
PONDERAR LAS VENTAJAS Y DESVENTAJAS,3
"Relacionado a la escuela y el trabajo, casi todo el tiempo",0
"Pues primero tengo que enfrentar el problema, y si no, trato de evadirlo",3
después de la comida,0
Ninguna,5
Cuando estoy con mis amigos,1
1.Cuando siento que mis conocimientos no son lo suficientes. 2.Cuando hago mal algun trabajo o tarea. 3.Cuando siento que no me alcanza el tiempo para realizar mis actividades.,4
Lo trato de disimular,2
Mi cumpleaños con amigos y familiares,1
Cuando hay muchas personas y/o ruido,0
"Me llega a doler el estómago, no soy mucho de llorar por presión o preocupaciones, pero si siento que me duele mi estomago y la cabeza, además de que me siento cansado y con ganas de acostarme sin hacer nada.",4
"Un poco de agitación, se bajan mis ánimos y mis pensamientos se dispersan mucho",4
"Cuando paso demasiado tiempo sin comprender cosas de cualquier tipo, cuando me interrumpen en cuestiones que yo considero importantes.",0
Un señuelo evolutivo.,1
"El estar tranquilo contigo mismo, el poder sentirte libre y no tener nada que sobrepensar, el sentirte relajado y sin preocupaciones.",1
La mayoría del tiempo,0
"Cuando se me juntan las tareas, trabajo y mas sino me sale como espero y el tiempo esta sobre mi",0
Es el calor de un beso y un abrazo de quienes mas amas y el recuerdo delo aprendido para ser mejor.,1
Pensar demasiado en las soluciones para lograr superar el reto a enfrentar y darl sin parar,3
Estando con mi pareja,1
"cuando tengo que hacer tarea, cuando no hay nadie en mi casa, cuando tengo que hacer cosas que no tengo tanta experiencia",4
Tranquilidad,1
Cuando algo no sale como lo tenía planeado o surgen imprevistos,4
Al ver a mi familia y A mis amigos felices,1
"Cuando juego juegos de mesa con mi mejor amigo, cuando salgo con mis hermanos vamos a jugar billar, en un trabajo que entregue me subieron de calificación, cuando vamos a jugar mis amigos y yo Xbox, cuando echo chismesito con mi mami, cuando platico con mi mejor amiga",1
Fatiga o cansancio,4
Después de ciertas tareas escolares y después de ir al gimnasio,0
cuando no puedo resolver problemas y cuando pienso en las cosas que puede haber hecho mejor,0
"No hacer lo que te digan los demas, siempre pensar en uno mismo y pelear por lo que nos gusta",1
"Estar mentalmente preparado para lo peor, y dar siempre lo mejor de mí.",3
Cuando descanso o salgo a algún lugar,1
"Cuando tenga que hacer un examen o proyecto importante me empiezo a sentir estresado poco a poco y me siento molesto cuando llego a procrastinar, donde me doy cuenta después de lo que pude haber avanzado",0
Con presión al tener muchos proyectos,0
"Rara vez, pero sería: cuando estoy en un lugar tranquilo (sin ruidos) solito; cuando estoy en áreas verdes; cuando comparto tiempo con mis hermano",1
Ninguna,5
"En un primer momento, puede que tenga ganas de llorar pero después trato de calmarme para después reflexionar de manera asertiva en qué puedo hacer si es que está en mis posibilidades para salir de esa situación",3
Las dos semanas,0
Laboralmente,1
"Cansancio, y escalofríos",4
Cuando faltan cosas por hacer y ya es tarde,4
"Cuando hago actividades que me gustan, como ver series y películas, ejercicio, salir a pasear a mi perro, convivir con mi familia",1
"Analizar el problema, tomar ventajas y desventajas y analizarlas para llegar a buena decision",3
"Cuando me estreso, cuando extraño a mi familia",5
Cuando aprendo algo nuevo.,1
En ninguns,5
Cuando algo urgente depende de mi y va saliendo mal,4
"Busco un momento de calma en mi día si es posible claro si no requiere una respuesta rápida, analizar las opciones sus lados positivos y negativos Tambien me importa si la decision que tomo no afecta a terceras personas intento tomar lo más seguro.",3
Cuando no veo a mis perros por bastante tiempo,5
Cuando me reúno con mis amigos y pasamos el rato,1
Por carga de trabajo por finales del semestre.,0
Cuando no me salen bien las cosas que planeo,0
"Estrés, mal humor, insomnio.",4
Buscar otra alternativa y tratar de no pensar en eso demasiado,3
"Analizar, pensar mis posibles soluciones y elegir mi mejor opción acorde a mis necesidades.",3
"Cuando no he estudiado, cuando debo alguna tarea o cuando se me hace tarde",4
"Plantearme la situación de la elección, pedir consejos de personas importantes en mi vida, ver si es conveniente o no hacerlo",3
"Cuando sucede algo que no me parece, que me retrasa o me afecta en el mal sentido personalmente",0
"Trato de calmarme para evitar hacer cosas por impulso que pueden hacer que las cosas empeoren, y después confrontar a la situación tratando de arreglarla",3
"Completando proyectos, pasando tiempo con mi pareja",1
Confía en el proceso ese es la frase que más me identifica,1
Hablar con amigos o mi familia,3
"Tratar de solucionarla lo más pronto posible, sin embargo, hay momentos donde decido ignorarla teniendo comportamientos hedonistas.",3
Dolor en el estómago o la cabeza,4
"Cuando no me sale las cosas que planifico, tambien si tengo mucho trabajo que se me acomula, y mas cuando me detengo en una sola tarea que no me sale y me lleva demasiado tiempo.",0
Pienso en diversas soluciones u opciones alternas a realizar,2
"A veces lloro, o me siento triste y decaída todo el día; depende la gravedad, los ejemplos de la pregunta son mínimos, sentiría un poco de frustración, pero hasta ahí.",2
Al momento de elaborar trabajos que lleven mucho tiempo o cuando tengo que ser líder en un equipo,0
plantear las ventajas y desventajas de cada opción y tomar la opción que tenga menos desventajas y las ventajas sean ayuda que no podrías obtener de otra forma,3
Al hacer tareas de temas que no termino de entender,4
1. Pensarla 2. Dialogarla 3.Tomar la decisión,3
Pensar por mi mismo Comentarlo con amigos cercanos Pensar nuevamente Tomar la decisión sin arrepentimiento,3
Encontrarse a uno mismo,1
"Cuando mi mamá me marco varias veces y no respondí, o cuando mi hermano aún no llega a la casa y ya es tarde",4
Me estreso mucho y me pongo muy nerviosa por las cosas que implique eso.,2
"Claridad mental, autoconocimiento, evaluación de opciones, planificación estratégica, decisión y acción.",3
Cuando tengo muchas cosas por hacer y termino sin hacer ninguna,0
Ninguna,1
El significado de la vida es el camino que recorres para encontrarlo,1
Taquicardias y escalofríos,4
Buscar la solucion y no perder la calma,2
Por la entrega de tareas y proyectos de la escuela,4
"La felicidad la encontramos en lo que nos hace sentir paz, en las personas que nos rodean y en las cosas que nos trasmiten empatía con el mundo entero",1
Cuando no le entiendo a algun tema de alguna materia,4
"Meditarlo, contarle a personas cercanas, volver a meditarlo pero ahora tomando en cuenta sus opiniones e informarme",3
Cuando estoy en la escuela,4
"Creo que actuó con forme a las circunstancias, no tengo como un camino que seguir, simplemente con lo que tengo, actúo, aunque tenga que salirme de mi zona de confort.",3
"Analizar la situación y las opciones disponibles, hacer una valoración de la mejor desición según mis criterios y actuar",3
"Al estar bajo mucho estrés, recordar momentos",5
"Mantener la calma y la claridad mental, evalúa la situación con objetividad y determinar una estrategia para superar el desafío, demás de confiar en mis habilidades para actuar determinación.",3
"A veces me echo un volado JSHDJSJ y en ocasiones pienso en los pros y contras , ya que me ayuda a ver la situación desde otra perspectiva",3
"Cuando no hay presion, se tiende a buscar soluciones sin recurrir a la frustracion. Pero con presion ya sea por puntualidad o comunicacion llega la desesperacion.",2
Aveces como que me hace ponerme un poco nervioso cuando me proucupa algo puedo caminar de un lado a otro.,4
"El estado en el que el ser humano se siente pleno, se siente tranquilo, se siente querido, un estado en el cual las personas se sienten alegres y comparten su vibra bonita combinada con amor.",1
"Dolor de cabeza, Dolor de estomago , Cansancio",4
Ninguna,4
Trato de buscar la forma de enfrentarlo de la manera más tranquila y si es necesario buscar ayuda de alguien más,3
Estando con mis amigos,1
Analizar la situación y prepárame de la mejor manera si es necesario,3
"Me estreso si la situación puede llegar a ser perjudicial, pero si la situación no es realmente grave simplemente siento una pequeña molestia o incomodidad al inicio pero le voy quitando la importancia, pues es casi irrelevante al final, con eso logro desestresarme.",2
"Cuando me abruma el futuro, principalmente académico.",5
En eventos dentro de la universidad,1
"Inquietud general, calor, dolor de cabeza, sueño.",4
Pasar tiempo con la familia,1
"Intento no dejar que las emociones me dominen y mantener una mente fría para poder tener ideas que puedan ayudar a salir de dicha situación, intentar buscar la opción más viable que sea neutra y no afecte más de lo que la situación puede ya estar.",3
No presionarme y buscar la solución más rápida,2
Trato de tener la mente despejada para tomar la mejor desición,3
"Cuando revisan tareas, cuando no sé si habrá clase.",4
"Nerviosismo, sobre pensamientos,",4
Cuando a veces no me cumplo a mí mismo y fallo al imponerme una disciplina,0
"Las consecuencias que podría traer la elección correcta, incorrecta y sus variantes",3
"Cuándo debo hacer muchas cosas a la vez, y siento que no me alcanza el tiempo",4
"Cuando tengo pensamientos negativos sobre que no puedo, que soy poca cosa, que no estoy logrando nada. Al compararme con mis compañeros egresados que ya han logrado “más cosas” que yo. Y con las aptitudes y poco apoyo por parte de mi papá.",5
"Angustiada, con nerviosismo y preocupación",2
"Por lo regular no suelo ser una persona que me moleste , siempre mantengo la calma , en cambio con la frustacion , si me ha llegado a pasar , mas que nada al tardarme mas tiempo en cumplir mis objetivos",0
"* cuando veo a mi niña tan grande, independendiente e inteligente",1
"En casi todo momento pero más en las siguientes situaciones: cuando me siento abrumado por ruidos (cohetes, ladridos de perros, tráfico); cuando estoy en el sol; cuando estoy en una multitud.",0
Tener información sobre lo cual se irá a tomar la decisión no llegar con una idea vaga de lo que es; ver las causas y consecuencias que la elección tiene o tendrá; en que puede afectar o beneficiar.,3
"En el ámbito académico, cuando algún trabajo me sale, se siente una gran satisfacción al saber que puedo con ello . En lo personal, cuando estoy en compañía de mis amistades más cercanas",1
Que la felicidad solo se da en pequeños momentos,1
Al ver algunas escenas de películas,5
